hour,ust_inflow,ust_outflow,net_outflow,whale_outflow,small_outflow,hhi,top_share
2022-04-21 22:00:00+00:00,57717131.144144,35199120.211667,-22518010.932476997,6749820.335544,28449299.876123,0.05452520746894175,0.19176105240569974
2022-04-21 23:00:00+00:00,4520073.019958,37675985.022407,33155912.002449002,367508.11237600003,37308476.910031,0.7765877592125542,0.009754439390434843
2022-04-22 00:00:00+00:00,37189222.848181,6764039.239485,-30425183.608696003,5703.509891,6758335.729594001,0.2805866821490811,0.0008432106451579741
2022-04-22 01:00:00+00:00,53075076.253216,51387594.60703,-1687481.6461860016,5051837.084893,46335757.52213701,0.48795469374193395,0.09830849494951631
2022-04-22 02:00:00+00:00,10580157.142484,3887246.515875,-6692910.626608999,395244.715187,3492001.800688,0.05202993208692029,0.1016772961459668
2022-04-22 03:00:00+00:00,23160994.965933,8419344.137302,-14741650.828630999,3008050.2716389997,5411293.865663,0.15493336857103496,0.35727845573051215
2022-04-22 04:00:00+00:00,45979402.432725005,12689652.565548,-33289749.867177002,877342.345749,11812310.219799,0.12988920440879706,0.06913840558022497
2022-04-22 05:00:00+00:00,4379690.150242,4586043.571261,206353.421019,51426.435678,4534617.135583,0.1460148920829425,0.011213682312193897
2022-04-22 06:00:00+00:00,18351962.418817,12618251.69369,-5733710.7251269985,6012325.451602,6605926.242088,0.31174991285815273,0.47647848509857976
2022-04-22 07:00:00+00:00,34386027.140641995,17453456.363459002,-16932570.777182993,127059.956535,17326396.406924002,0.3752529731634753,0.007279930913914332
2022-04-22 08:00:00+00:00,15128273.065989,12246726.738537,-2881546.327452,392644.892796,11854081.845741,0.18291817622565512,0.03206121122638077
2022-04-22 09:00:00+00:00,24155629.52329,2609602.5045849998,-21546027.018705003,66508.19540999999,2543094.309175,0.07771115791750367,0.025485948642809363
2022-04-22 10:00:00+00:00,52284790.40527599,5248635.693337,-47036154.71193899,2778955.5290389997,2469680.164298,0.285765403710364,0.5294624529888421
2022-04-22 11:00:00+00:00,18166291.620362,11216812.580675,-6949479.039686998,54718.646111999995,11162093.934563,0.19367314445118433,0.004878270517443839
2022-04-22 12:00:00+00:00,8425911.290281,14204619.587902,5778708.297621001,5338591.975704,8866027.612197999,0.1626674499210073,0.3758349136115445
2022-04-22 13:00:00+00:00,33857280.487322,28446794.553659,-5410485.933663003,57225.021315000005,28389569.532344,0.4370880568979677,0.0020116509509377875
2022-04-22 14:00:00+00:00,62381204.408093,66222904.308064,3841699.899971001,33605142.509606004,32617761.798458,0.17923682126277599,0.5074549789190368
2022-04-22 15:00:00+00:00,14043916.350835,20626322.615387,6582406.264552001,324481.206225,20301841.409162,0.1597451931929178,0.015731413314700154
2022-04-22 16:00:00+00:00,8721434.80146,56852219.303995006,48130784.50253501,1420133.304166,55432085.999829,0.3726279329061489,0.02497938201097116
2022-04-22 17:00:00+00:00,44875525.074178,8239866.096827,-36635658.977351,6855.658765,8233010.438062,0.21308615802525763,0.0008320109434351088
2022-04-22 18:00:00+00:00,60534542.36021,61088908.412353,554366.0521430001,3140967.4309730004,57947940.98138,0.3929579720508433,0.05141632929125731
2022-04-22 19:00:00+00:00,47166037.470857,8223528.611833001,-38942508.859024,611803.732747,7611724.879086,0.17337007842252192,0.07439674154798503
2022-04-22 20:00:00+00:00,12085634.805914,8885384.148483,-3200250.657430999,571117.714933,8314266.43355,0.1924200821050426,0.06427608591695012
2022-04-22 21:00:00+00:00,13577655.921925,10307115.251819,-3270540.670106001,5088325.968976,5218789.282843,0.30769952784282073,0.4936712013652911
2022-04-22 22:00:00+00:00,11216209.428308,5256458.939355,-5959750.488953001,14460.90283,5241998.036525,0.18891340422915032,0.0027510731077401785
2022-04-22 23:00:00+00:00,17788623.822191,11373626.234536,-6414997.587655,1004048.139583,10369578.094953,0.1560004405713399,0.08827862977721294
2022-04-23 00:00:00+00:00,7390926.070238,11418688.783395,4027762.713157,4090973.4522019997,7327715.331193,0.22785105294843716,0.358269984391822
2022-04-23 01:00:00+00:00,8223553.570601,5172392.132399,-3051161.438202,100209.00884,5072183.123559,0.4642420593491927,0.019373822841525782
2022-04-23 02:00:00+00:00,12685154.331627,1712734.988926,-10972419.342701,574.8189540000001,1712160.169972,0.10565687965825397,0.0003356146500869059
2022-04-23 03:00:00+00:00,46403162.828556,16413678.988339,-29989483.840217,3279468.375922,13134210.612417,0.12431154905516313,0.19980093300544496
2022-04-23 04:00:00+00:00,11183984.917987999,7099743.285748,-4084241.6322399983,6746.408046,7092996.877702,0.13745374532415242,0.0009502326738408578
2022-04-23 05:00:00+00:00,8022345.033662,2382169.818629,-5640175.215033,14463.460449,2367706.35818,0.04697931864792032,0.0060715488609977
2022-04-23 06:00:00+00:00,14623157.838705,18228866.070962,3605708.232257001,4368892.077892,13859973.99307,0.15561185935985267,0.23966888894156202
2022-04-23 07:00:00+00:00,5915215.234865,1307001.61043,-4608213.624435,10775.830585,1296225.779845,0.020199858641628293,0.008244695721112985
2022-04-23 08:00:00+00:00,8351371.542281,6816175.553231001,-1535195.989049999,65414.820746,6750760.732485,0.18357342627746662,0.009596997647015134
2022-04-23 09:00:00+00:00,15638432.164727999,15374969.845671,-263462.31905699894,7976.655418,15366993.190253,0.12489474601367745,0.0005188078739709476
2022-04-23 10:00:00+00:00,10213082.597301,11716843.309614,1503760.712313,23356.506759,11693486.802855,0.34954352480198647,0.001993412913513602
2022-04-23 11:00:00+00:00,7026262.333283,9049819.488572,2023557.155289,5884.949937,9043934.538635,0.2775639045296258,0.0006502836818382336
2022-04-23 12:00:00+00:00,32117579.555974,28174673.694764,-3942905.86121,381353.912237,27793319.782527,0.27067779794432767,0.013535344414933582
2022-04-23 13:00:00+00:00,30428991.496797,27577749.857889,-2851241.638907999,7134979.216361,20442770.641528003,0.18898830213622908,0.2587223124848215
2022-04-23 14:00:00+00:00,46406358.616953,46151855.049847,-254503.56710600108,2913096.320314,43238758.729532994,0.5309558690474313,0.06311980996576771
2022-04-23 15:00:00+00:00,22187295.749629,22009271.644367002,-178024.1052619964,5135.73175,22004135.912617,0.09327347206202367,0.00023334401215018973
2022-04-23 16:00:00+00:00,19076913.489421003,9213301.135058,-9863612.354363002,45516.432425,9167784.702632999,0.2578758381983086,0.004940295748263683
2022-04-23 17:00:00+00:00,13950866.263339,43605877.126122005,29655010.862783007,331348.51827299997,43274528.607849,0.5468899273927579,0.007598712378027281
2022-04-23 18:00:00+00:00,12713229.801388001,12967470.611199,254240.80981099978,8083.505633000001,12959387.105566,0.2145223683339626,0.000623367954735822
2022-04-23 19:00:00+00:00,5662339.918953,3538116.53738,-2124223.3815729995,6401.261089,3531715.2762909997,0.10643748456716176,0.0018092284472179024
2022-04-23 20:00:00+00:00,38079826.015325,38720623.301809,640797.2864839956,818400.203313,37902223.098496,0.7720823387190896,0.021136028646387132
2022-04-23 21:00:00+00:00,6435599.105924,5651657.722488,-783941.383436,16440.156951,5635217.565537,0.10643478841652362,0.0029089088119375064
2022-04-23 22:00:00+00:00,41426840.055235,39032728.636212,-2394111.4190229997,609724.024229,38423004.611983,0.7360292789568459,0.015620840395547907
2022-04-23 23:00:00+00:00,36359845.849073,41420632.922785,5060787.073711999,2042815.2919259998,39377817.630858995,0.6564082675942785,0.04931878505415767
2022-04-24 00:00:00+00:00,11406020.161091,5840533.199477,-5565486.961614,405265.004704,5435268.194773,0.11524826688183905,0.0693883573404377
2022-04-24 01:00:00+00:00,14278521.176401999,15215536.495397,937015.3189950008,250252.594797,14965283.9006,0.14719588060576602,0.01644717521940198
2022-04-24 02:00:00+00:00,5187341.954547,2186480.868259,-3000861.086288,72581.094952,2113899.773307,0.14886056598343358,0.03319539448327905
2022-04-24 03:00:00+00:00,11672897.954057,9488022.856801,-2184875.097256001,2141278.502161,7346744.35464,0.22057585123103288,0.22568226641930303
2022-04-24 04:00:00+00:00,47210901.093861,10888156.538459001,-36322744.555401996,357.79769899999997,10887798.74076,0.20296541963439302,3.2861182490919534e-05
2022-04-24 05:00:00+00:00,2926659.953232,2173819.777328,-752840.1759040002,400180.766064,1773639.0112639999,0.11564922084465351,0.18409105034267897
2022-04-24 06:00:00+00:00,3144473.99165,1971248.691804,-1173225.2998460003,5782.656190000001,1965466.035614,0.07348669487840867,0.0029334990628239648
2022-04-24 07:00:00+00:00,15521642.721302,11295195.418233,-4226447.303069001,1007129.49843,10288065.919803001,0.18856646945094874,0.08916441558897381
2022-04-24 08:00:00+00:00,4509177.981791,2356812.436027,-2152365.5457639997,492452.378413,1864360.057614,0.14419103238974307,0.20894848095894822
2022-04-24 09:00:00+00:00,12034810.014659,3395260.232297,-8639549.782362001,208740.928308,3186519.303989,0.22185883388467775,0.0614800969664644
2022-04-24 10:00:00+00:00,46967979.510255,47452955.872487,484976.36223199964,33598668.224725,13854287.647762,0.5082614217535368,0.708041630009509
2022-04-24 11:00:00+00:00,4276630.0663290005,9653472.957613,5376842.891284,135987.107036,9517485.850577,0.1924832341485142,0.014086858442873322
2022-04-24 12:00:00+00:00,6445335.336314,3702516.602508,-2742818.733806,23967.611624,3678548.990884,0.12910554153145745,0.0064733299528663526
2022-04-24 13:00:00+00:00,13123673.258214,14243903.379211001,1120230.1209970005,318380.253464,13925523.125747,0.11097377804121891,0.022352036867132677
2022-04-24 14:00:00+00:00,51032436.561165996,53320507.821724005,2288071.260558009,563159.2535679999,52757348.568156004,0.5119517608177615,0.010561775882759989
2022-04-24 15:00:00+00:00,6085787.257332,12119013.055104,6033225.797772001,173.16203,12118839.893074,0.2056209509804808,1.4288459729571104e-05
2022-04-24 16:00:00+00:00,19184090.488772,33942864.198497005,14758773.709725004,44817.94781,33898046.250687,0.37788349598187376,0.0013203938108435924
2022-04-24 17:00:00+00:00,13979966.395665,18048772.67794,4068806.2822750006,80200.981689,17968571.696250997,0.1511337392780346,0.004443569827161996
2022-04-24 18:00:00+00:00,4636881.819444,31631626.538752,26994744.719308,105421.654034,31526204.884718,0.8346392311419438,0.0033327927005222958
2022-04-24 19:00:00+00:00,5624006.899335001,4159410.787925,-1464596.1114100008,410184.20457500004,3749226.58335,0.10098057763570846,0.0986159399705813
2022-04-24 20:00:00+00:00,12062494.13464,10487120.554504,-1575373.580136001,11150.000147,10475970.554357,0.1414103886732179,0.0010632089227019812
2022-04-24 21:00:00+00:00,4710014.6389109995,5739353.794094,1029339.1551830005,55988.846030999994,5683364.948063,0.2536253030378204,0.00975525260154105
2022-04-24 22:00:00+00:00,8354541.601291,4961780.510684,-3392761.0906069996,71259.871621,4890520.639063,0.18713491668702517,0.01436175410572052
2022-04-24 23:00:00+00:00,10574676.136988001,12898314.298821,2323638.1618329994,111293.818014,12787020.480807,0.19701933831334767,0.008628555285257165
2022-04-25 00:00:00+00:00,3738174.171519,11114327.744718999,7376153.573199999,2542882.251662,8571445.493057,0.05542766336365502,0.22879316770825453
2022-04-25 01:00:00+00:00,30115130.26872,12295766.224531,-17819364.044189,1484754.061345,10811012.163186,0.07899116889372255,0.12075327671591554
2022-04-25 02:00:00+00:00,49623383.312397,19007527.354574,-30615855.957823005,6558847.6245329995,12448679.730041,0.17877367309281722,0.34506579957411815
2022-04-25 03:00:00+00:00,26242489.191172,22681920.989894,-3560568.201278001,3262212.377793,19419708.612101,0.5192504844539144,0.14382434271094097
2022-04-25 04:00:00+00:00,11844775.67344,5309780.904493,-6534994.768947,10686.933679000002,5299093.970814,0.0937750346751488,0.0020126882579951638
2022-04-25 05:00:00+00:00,18037486.899202,18226552.836708,189065.93750600144,56802.391873,18169750.444835,0.15321657207171743,0.003116463786756256
2022-04-25 06:00:00+00:00,15421132.35799,13850109.10961,-1571023.2483799998,1382266.882711,12467842.226899,0.1674540357880666,0.09980187677741137
2022-04-25 07:00:00+00:00,23449861.119985,20032071.310627,-3417789.8093580008,1830178.5259659998,18201892.784661,0.07956046267103262,0.09136242066965344
2022-04-25 08:00:00+00:00,22396208.310392,11345449.394387,-11050758.916005,261100.44059400004,11084348.953793,0.06504218913606466,0.023013671077954462
2022-04-25 09:00:00+00:00,9805728.183562,18865487.486413,9059759.302850999,1648843.606742,17216643.879671,0.07664364628933135,0.08740000002276666
